,date,time,c-ip,cs-username,s-ip,s-port,cs-method,cs-uri-stem,sc-status,sc-win32-status,sc-substatus,time-taken,x-session,x-fullpath
838,2021-01-06,00:32:37,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,I,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
839,2021-01-06,00:33:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,I,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
840,2021-01-06,00:33:37,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
841,2021-01-06,00:34:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
842,2021-01-06,00:34:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
843,2021-01-06,00:34:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59332,DataChannelOpened,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
844,2021-01-06,00:34:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59332,DataChannelClosed,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
845,2021-01-06,00:34:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,LIST,-a,226,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,/ftp6001/Send/ServerLink
846,2021-01-06,00:34:37,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,REST,0,350,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
847,2021-01-06,00:35:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PWD,-,257,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
848,2021-01-06,00:35:37,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
849,2021-01-06,00:36:07,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
850,2021-01-06,00:36:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
851,2021-01-06,00:36:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
852,2021-01-06,00:36:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59335,DataChannelOpened,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
853,2021-01-06,00:36:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,59335,DataChannelClosed,-,-,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
854,2021-01-06,00:36:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,LIST,-a,226,0,0,16,66620a67-e8d8-474d-8ba8-6c604058c9f0,/ftp6001/Send/ServerLink
855,2021-01-06,00:36:38,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
856,2021-01-06,00:37:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PWD,-,257,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
857,2021-01-06,00:37:38,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PWD,-,257,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
858,2021-01-06,00:38:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,TYPE,A,200,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
859,2021-01-06,00:38:08,172.30.6.137,RGSV920\HOST0001,172.30.9.85,21,PASV,-,227,0,0,0,66620a67-e8d8-474d-8ba8-6c604058c9f0,-
