timestamp,c-ip,count,timestamp_ts
2021-08-08,172.28.85.145,1,11.0
2021-08-08,172.28.85.21,1,1.0
2021-08-08,172.30.4.122,5,7.0
2021-08-08,172.30.9.84,2912,2937.0
2021-08-08,172.31.124.1,84,1082.0
2021-08-08,172.31.74.120,49,49.0
2021-08-09,10.161.32.87,24018,30166.0
2021-08-09,10.161.38.190,47,291.0
2021-08-09,10.161.54.255,942,2362.0
2021-08-09,172.28.85.145,1,11.0
2021-08-09,172.28.85.21,1,1.0
2021-08-09,172.28.92.63,1,2.0
2021-08-09,172.29.80.7,3,3.0
2021-08-09,172.30.4.122,1,1.0
2021-08-09,172.30.9.84,6540,6578.0
2021-08-09,172.31.74.120,1,1.0
2021-08-10,10.161.32.87,22649,28933.0
2021-08-10,10.161.38.190,481,2027.0
2021-08-10,10.161.54.255,1085,2773.0
2021-08-10,10.168.56.49,2169,3114.0
2021-08-10,10.169.60.142,3,8.0
2021-08-10,172.26.241.178,2,114.0
2021-08-10,172.28.69.82,1,1.0
2021-08-10,172.28.85.145,2,13.0
2021-08-10,172.28.85.21,2,3.0
2021-08-10,172.28.92.63,1,2.0
2021-08-10,172.29.80.7,9,9.0
2021-08-10,172.30.4.122,1,1.0
2021-08-10,172.30.5.214,3,24380.0
2021-08-10,172.30.5.40,2,21800.0
2021-08-10,172.30.5.67,4,289.0
2021-08-10,172.30.9.84,6502,6621.0
2021-08-10,172.31.124.1,409,1324.0
2021-08-10,172.31.124.31,4,13.0
2021-08-10,172.31.74.120,800,815.0
2021-08-10,192.168.66.80,1,134.0
2021-08-11,10.161.32.87,21442,30063.0
2021-08-11,10.161.38.190,456,1811.0
2021-08-11,10.161.54.255,1049,2674.0
2021-08-11,10.168.56.49,2833,3791.0
2021-08-11,10.169.60.142,3,8.0
2021-08-11,172.26.241.178,2,126.0
2021-08-11,172.28.69.82,1,2.0
2021-08-11,172.28.85.145,1,11.0
2021-08-11,172.28.85.21,1,1.0
2021-08-11,172.28.92.63,1,2.0
2021-08-11,172.29.80.7,9,10.0
2021-08-11,172.30.4.122,6,8.0
2021-08-11,172.30.5.214,4,19447.0
2021-08-11,172.30.5.40,1,8650.0
2021-08-11,172.30.5.67,2,252.0
2021-08-11,172.30.9.84,6480,6613.0
2021-08-11,172.31.124.1,533,2657.0
2021-08-11,172.31.124.31,4,18.0
2021-08-11,172.31.74.120,832,849.0
2021-08-11,172.31.74.28,1,2.0
2021-08-11,192.168.66.80,2,210.0
2021-08-12,10.161.32.87,21898,29502.0
2021-08-12,10.161.38.190,465,1787.0
2021-08-12,10.161.54.255,1075,2736.0
2021-08-12,10.168.45.225,1,5.0
2021-08-12,10.168.56.49,2095,3148.0
2021-08-12,10.169.60.142,3,5.0
2021-08-12,172.26.241.178,2,130.0
2021-08-12,172.28.69.82,1,2.0
2021-08-12,172.28.85.145,1,11.0
2021-08-12,172.28.85.21,1,1.0
2021-08-12,172.28.92.63,1,2.0
2021-08-12,172.29.80.7,9,9.0
2021-08-12,172.30.4.122,6,7.0
2021-08-12,172.30.5.214,2,7319.0
2021-08-12,172.30.9.84,6482,6605.0
2021-08-12,172.31.124.1,532,2483.0
2021-08-12,172.31.124.31,2,10.0
2021-08-12,172.31.74.120,832,848.0
2021-08-12,172.31.74.28,1,2.0
2021-08-13,10.161.32.87,23570,30407.0
2021-08-13,10.161.38.190,255,981.0
2021-08-13,10.161.54.255,706,1908.0
2021-08-13,10.168.56.49,3152,3995.0
2021-08-13,172.28.85.145,1,11.0
2021-08-13,172.28.85.21,1,2.0
2021-08-13,172.29.80.7,3,3.0
2021-08-13,172.30.4.122,6,8.0
2021-08-13,172.30.9.84,6542,6582.0
2021-08-13,172.31.124.1,239,1884.0
2021-08-13,172.31.74.120,314,321.0
2021-08-13,172.31.74.28,1,2.0
2021-08-14,10.161.32.87,23857,30067.0
2021-08-14,10.161.38.190,146,1262.0
2021-08-14,10.161.54.255,695,1676.0
2021-08-14,10.168.56.49,3167,3994.0
2021-08-14,172.26.241.164,2,46.0
2021-08-14,172.28.85.145,1,11.0
2021-08-14,172.28.85.21,1,1.0
2021-08-14,172.28.92.63,1,1.0
2021-08-14,172.29.80.7,3,3.0
2021-08-14,172.30.4.122,6,8.0
2021-08-14,172.30.9.84,6542,6598.0
2021-08-14,172.31.124.1,85,772.0
2021-08-14,172.31.74.120,49,50.0
2021-08-15,10.161.32.87,10953,13741.0
2021-08-15,10.161.38.190,1,1.0
2021-08-15,10.161.54.255,15,191.0
2021-08-15,10.168.56.49,1500,1857.0
2021-08-15,172.28.85.145,1,11.0
2021-08-15,172.28.85.21,1,2.0
2021-08-15,172.30.4.122,184,186.0
2021-08-15,172.30.9.84,2910,2930.0
2021-08-15,172.31.74.120,1,1.0
2021-08-16,10.161.32.87,23868,30006.0
2021-08-16,10.161.38.190,47,283.0
2021-08-16,10.161.54.255,697,1874.0
2021-08-16,10.168.56.49,3180,3947.0
2021-08-16,172.28.85.145,1,11.0
2021-08-16,172.28.85.21,1,1.0
2021-08-16,172.29.80.7,3,3.0
2021-08-16,172.30.4.122,1,1.0
2021-08-16,172.30.9.84,6540,6575.0
2021-08-16,172.31.74.120,1,1.0
2021-08-17,10.161.32.87,22573,29038.0
2021-08-17,10.161.38.190,458,1781.0
2021-08-17,10.161.54.255,1122,2869.0
2021-08-17,10.168.56.49,3445,4814.0
2021-08-17,10.169.60.142,3,7.0
2021-08-17,172.26.241.178,3,119.0
2021-08-17,172.28.69.63,1,1.0
2021-08-17,172.28.85.145,1,11.0
2021-08-17,172.28.85.21,1,2.0
2021-08-17,172.28.92.63,1,2.0
2021-08-17,172.29.80.7,9,9.0
2021-08-17,172.30.4.122,185,191.0
2021-08-17,172.30.5.135,2,928.0
2021-08-17,172.30.5.214,1,2429.0
2021-08-17,172.30.9.84,6489,6610.0
2021-08-17,172.31.124.1,406,1272.0
2021-08-17,172.31.124.31,2,9.0
2021-08-17,172.31.74.120,784,795.0
2021-08-18,10.161.32.87,22130,29215.0
2021-08-18,10.161.38.190,462,1865.0
2021-08-18,10.161.54.255,1147,2918.0
2021-08-18,10.168.56.49,3445,4846.0
2021-08-18,10.169.60.142,3,8.0
2021-08-18,172.26.241.178,2,122.0
2021-08-18,172.28.69.82,1,1.0
2021-08-18,172.28.85.103,1,2836.0
2021-08-18,172.28.85.145,1,11.0
2021-08-18,172.28.85.21,1,1.0
2021-08-18,172.28.92.63,1,2.0
2021-08-18,172.29.80.7,9,9.0
2021-08-18,172.30.4.122,6,10.0
2021-08-18,172.30.5.135,1,48.0
2021-08-18,172.30.9.84,6493,6621.0
2021-08-18,172.31.124.1,538,2448.0
2021-08-18,172.31.124.31,2,10.0
2021-08-18,172.31.74.120,832,845.0
2021-08-18,172.31.74.28,1,3.0
2021-08-19,10.161.32.87,22129,29170.0
2021-08-19,10.161.38.190,458,1844.0
2021-08-19,10.161.54.255,1137,2872.0
2021-08-19,10.168.56.49,3102,4291.0
2021-08-19,10.169.60.142,3,8.0
2021-08-19,172.26.241.178,2,244.0
2021-08-19,172.28.69.82,1,1.0
2021-08-19,172.28.85.145,1,11.0
2021-08-19,172.28.85.21,1,1.0
2021-08-19,172.28.92.63,1,2.0
2021-08-19,172.29.80.7,9,9.0
2021-08-19,172.30.4.122,6,8.0
2021-08-19,172.30.5.67,1,130.0
2021-08-19,172.30.9.84,6492,6627.0
2021-08-19,172.31.124.1,533,2421.0
2021-08-19,172.31.124.31,2,9.0
2021-08-19,172.31.74.120,832,846.0
2021-08-19,172.31.74.28,1,2.0
2021-08-20,10.161.32.87,22129,29291.0
2021-08-20,10.161.38.190,500,2115.0
2021-08-20,10.161.54.255,1196,3014.0
2021-08-20,10.168.56.49,3103,4346.0
2021-08-20,10.169.60.142,3,9.0
2021-08-20,172.26.241.178,2,111.0
2021-08-20,172.28.69.82,1,1.0
2021-08-20,172.28.85.145,1,11.0
2021-08-20,172.28.85.21,1,1.0
2021-08-20,172.28.92.63,1,2.0
2021-08-20,172.29.80.7,9,9.0
2021-08-20,172.30.4.122,6,11.0
2021-08-20,172.30.5.129,3,397.0
2021-08-20,172.30.5.214,2,2871.0
2021-08-20,172.30.5.96,2,40.0
2021-08-20,172.30.9.84,6482,6615.0
2021-08-20,172.31.124.1,533,2431.0
2021-08-20,172.31.124.31,4,14.0
2021-08-20,172.31.74.120,842,854.0
2021-08-20,172.31.74.28,1,2.0
2021-08-20,192.168.66.80,2,73.0
2021-08-21,10.161.32.87,23573,30382.0
2021-08-21,10.161.38.190,265,1063.0
2021-08-21,10.161.54.255,1073,2506.0
2021-08-21,10.168.56.49,3167,4015.0
2021-08-21,172.28.85.145,1,11.0
2021-08-21,172.28.85.21,1,2.0
2021-08-21,172.28.92.63,1,2.0
2021-08-21,172.29.80.7,3,3.0
2021-08-21,172.30.4.122,6,8.0
